year_month,month_index,sub_category,is_treated_group,is_event_month,orders,avg_discount_pct,revenue
2024-01,1,Sneakers,1,0,2823,0.32,6142848
2024-01,1,Casual Shoes,0,0,1685,0.38,1984930
2024-01,1,Formal Shoes,0,0,881,0.28,1649232
2024-01,1,Sports Shoes,0,0,1499,0.35,2728180
2024-01,1,Sandals & Floaters,0,0,631,0.4,340740
2024-02,2,Sneakers,1,0,2194,0.22,5476224
2024-02,2,Casual Shoes,0,0,1317,0.28,1801656
2024-02,2,Formal Shoes,0,0,736,0.18,1569152
2024-02,2,Sports Shoes,0,0,1188,0.25,2494800
2024-02,2,Sandals & Floaters,0,0,463,0.3,291690
2024-03,3,Sneakers,1,0,2457,0.22,6132672
2024-03,3,Casual Shoes,0,0,1370,0.28,1874160
2024-03,3,Formal Shoes,0,0,775,0.18,1652300
2024-03,3,Sports Shoes,0,0,1160,0.25,2436000
2024-03,3,Sandals & Floaters,0,0,484,0.3,304920
2024-04,4,Sneakers,1,0,2225,0.22,5553600
2024-04,4,Casual Shoes,0,0,1405,0.28,1922040
2024-04,4,Formal Shoes,0,0,755,0.18,1609660
2024-04,4,Sports Shoes,0,0,1206,0.25,2532600
2024-04,4,Sandals & Floaters,0,0,499,0.3,314370
2024-05,5,Sneakers,1,1,2679,0.37,5400864
2024-05,5,Casual Shoes,0,1,1371,0.28,1875528
2024-05,5,Formal Shoes,0,1,738,0.18,1573416
2024-05,5,Sports Shoes,0,1,1199,0.25,2517900
2024-05,5,Sandals & Floaters,0,1,510,0.3,321300
2024-06,6,Sneakers,1,0,2027,0.22,5059392
2024-06,6,Casual Shoes,0,0,1229,0.28,1681272
2024-06,6,Formal Shoes,0,0,694,0.18,1479608
2024-06,6,Sports Shoes,0,0,1079,0.25,2265900
2024-06,6,Sandals & Floaters,0,0,447,0.3,281610
2024-07,7,Sneakers,1,0,2925,0.32,6364800
2024-07,7,Casual Shoes,0,0,2015,0.38,2373670
2024-07,7,Formal Shoes,0,0,1101,0.28,2061072
2024-07,7,Sports Shoes,0,0,1563,0.35,2844660
2024-07,7,Sandals & Floaters,0,0,653,0.4,352620
2024-08,8,Sneakers,1,0,2246,0.22,5606016
2024-08,8,Casual Shoes,0,0,1402,0.28,1917936
2024-08,8,Formal Shoes,0,0,831,0.18,1771692
2024-08,8,Sports Shoes,0,0,1278,0.25,2683800
2024-08,8,Sandals & Floaters,0,0,523,0.3,329490
2024-09,9,Sneakers,1,0,2200,0.22,5491200
2024-09,9,Casual Shoes,0,0,1465,0.28,2004120
2024-09,9,Formal Shoes,0,0,768,0.18,1637376
2024-09,9,Sports Shoes,0,0,1291,0.25,2711100
2024-09,9,Sandals & Floaters,0,0,515,0.3,324450
2024-10,10,Sneakers,1,0,3628,0.36,7430144
2024-10,10,Casual Shoes,0,0,2246,0.42,2475092
2024-10,10,Formal Shoes,0,0,1395,0.32,2466360
2024-10,10,Sports Shoes,0,0,1721,0.39,2939468
2024-10,10,Sandals & Floaters,0,0,818,0.44,412272
2024-11,11,Sneakers,1,0,3614,0.36,7401472
2024-11,11,Casual Shoes,0,0,2242,0.42,2470684
2024-11,11,Formal Shoes,0,0,1267,0.32,2240056
2024-11,11,Sports Shoes,0,0,1832,0.39,3129056
2024-11,11,Sandals & Floaters,0,0,808,0.44,407232
2024-12,12,Sneakers,1,0,2408,0.22,6010368
2024-12,12,Casual Shoes,0,0,1383,0.28,1891944
2024-12,12,Formal Shoes,0,0,936,0.18,1995552
2024-12,12,Sports Shoes,0,0,1246,0.25,2616600
2024-12,12,Sandals & Floaters,0,0,517,0.3,325710
