trial_id,tier,model,order_qty,demand_shock,units_sold,unsold_units,sell_through_pct,gmv,profit,capital_employed
1,Hot / predictable,MP,1930,0.757,1384.3,545.7,71.7,3156654,694464,0
1,Hot / predictable,OR,1930,0.757,1641.7,288.3,85.1,3103144,839037,2316000
1,Hot / predictable,SOR,1930,0.757,1641.7,288.3,85.1,3103144,886844,0
2,Hot / predictable,MP,1930,1.069,1794.4,135.6,93.0,4485886,986895,0
2,Hot / predictable,OR,1930,1.069,1930.0,0.0,100.0,4348179,2032179,2316000
2,Hot / predictable,SOR,1930,1.069,1930.0,0.0,100.0,4348179,1742679,0
3,Hot / predictable,MP,1930,0.703,1322.9,607.1,68.5,2928837,644344,0
3,Hot / predictable,OR,1930,0.703,1564.9,365.1,81.1,2866252,615963,2316000
3,Hot / predictable,SOR,1930,0.703,1564.9,365.1,81.1,2866252,753584,0
4,Hot / predictable,MP,1930,1.176,1930.0,0.0,100.0,4825000,1061500,0
4,Hot / predictable,OR,1930,1.176,1930.0,0.0,100.0,4387542,2071542,2316000
4,Hot / predictable,SOR,1930,1.176,1930.0,0.0,100.0,4387542,1782042,0
5,Hot / predictable,MP,1930,1.002,1681.5,248.5,87.1,4203667,924807,0
5,Hot / predictable,OR,1930,1.002,1877.6,52.4,97.3,4175911,1869336,2316000
5,Hot / predictable,SOR,1930,1.002,1877.6,52.4,97.3,4175911,1641099,0
6,Hot / predictable,MP,1930,0.816,1405.5,524.5,72.8,3413545,750980,0
6,Hot / predictable,OR,1930,0.816,1700.0,230.0,88.1,3361990,1087397,2316000
6,Hot / predictable,SOR,1930,0.816,1700.0,230.0,88.1,3361990,1067044,0
7,Hot / predictable,MP,1930,1.024,1718.7,211.3,89.1,4296693,945273,0
7,Hot / predictable,OR,1930,1.024,1890.4,39.6,97.9,4269242,1960373,2316000
7,Hot / predictable,SOR,1930,1.024,1890.4,39.6,97.9,4269242,1717227,0
8,Hot / predictable,MP,1930,1.103,1852.3,77.7,96.0,4630675,1018748,0
8,Hot / predictable,OR,1930,1.103,1930.0,0.0,100.0,4414675,2098675,2316000
8,Hot / predictable,SOR,1930,1.103,1930.0,0.0,100.0,4414675,1809175,0
9,Hot / predictable,MP,1930,1.286,1930.0,0.0,100.0,4825000,1061500,0
9,Hot / predictable,OR,1930,1.286,1930.0,0.0,100.0,4442182,2126182,2316000
9,Hot / predictable,SOR,1930,1.286,1930.0,0.0,100.0,4442182,1836682,0
10,Hot / predictable,MP,1930,0.836,1440.5,489.5,74.6,3498567,769685,0
10,Hot / predictable,OR,1930,0.836,1742.3,187.7,90.3,3445728,1163514,2316000
10,Hot / predictable,SOR,1930,0.836,1742.3,187.7,90.3,3445728,1093621,0
11,Hot / predictable,MP,1930,0.999,1677.4,252.6,86.9,4193486,922567,0
11,Hot / predictable,OR,1930,0.999,1873.1,56.9,97.1,4165797,1860041,2316000
11,Hot / predictable,SOR,1930,0.999,1873.1,56.9,97.1,4165797,1637125,0
12,Hot / predictable,MP,1930,1.202,1930.0,0.0,100.0,4825000,1061500,0
12,Hot / predictable,OR,1930,1.202,1930.0,0.0,100.0,4467025,2151025,2316000
12,Hot / predictable,SOR,1930,1.202,1930.0,0.0,100.0,4467025,1861525,0
13,Hot / predictable,MP,1930,0.973,1634.0,296.0,84.7,4084998,898700,0
13,Hot / predictable,OR,1930,0.973,1856.8,73.2,96.2,4056999,1754170,2316000
13,Hot / predictable,SOR,1930,0.973,1856.8,73.2,96.2,4056999,1550283,0
14,Hot / predictable,MP,1930,0.925,1592.3,337.7,82.5,3867380,850824,0
14,Hot / predictable,OR,1930,0.925,1788.6,141.4,92.7,3852485,1561943,2316000
14,Hot / predictable,SOR,1930,0.925,1788.6,141.4,92.7,3852485,1437926,0
15,Hot / predictable,MP,1930,1.131,1898.4,31.6,98.4,4745985,1044117,0
15,Hot / predictable,OR,1930,1.131,1930.0,0.0,100.0,4404457,2088457,2316000
15,Hot / predictable,SOR,1930,1.131,1930.0,0.0,100.0,4404457,1798957,0
16,Hot / predictable,MP,1930,1.095,1838.7,91.3,95.3,4596838,1011304,0
16,Hot / predictable,OR,1930,1.095,1930.0,0.0,100.0,4417673,2101673,2316000
16,Hot / predictable,SOR,1930,1.095,1930.0,0.0,100.0,4417673,1812173,0
17,Hot / predictable,MP,1930,1.318,1930.0,0.0,100.0,4825000,1061500,0
17,Hot / predictable,OR,1930,1.318,1930.0,0.0,100.0,4432430,2116430,2316000
17,Hot / predictable,SOR,1930,1.318,1930.0,0.0,100.0,4432430,1826930,0
18,Hot / predictable,MP,1930,1.08,1812.8,117.2,93.9,4531944,997028,0
18,Hot / predictable,OR,1930,1.08,1930.0,0.0,100.0,4423423,2107423,2316000
18,Hot / predictable,SOR,1930,1.08,1930.0,0.0,100.0,4423423,1817923,0
19,Hot / predictable,MP,1930,0.831,1430.7,499.3,74.1,3474700,764434,0
19,Hot / predictable,OR,1930,0.831,1730.4,199.6,89.7,3422222,1142147,2316000
19,Hot / predictable,SOR,1930,0.831,1730.4,199.6,89.7,3422222,1086161,0
20,Hot / predictable,MP,1930,1.111,1865.0,65.0,96.6,4662613,1025775,0
20,Hot / predictable,OR,1930,1.111,1930.0,0.0,100.0,4411845,2095845,2316000
20,Hot / predictable,SOR,1930,1.111,1930.0,0.0,100.0,4411845,1806345,0
21,Hot / predictable,MP,1930,0.964,1618.2,311.8,83.8,4045474,890004,0
21,Hot / predictable,OR,1930,0.964,1838.9,91.1,95.3,4017746,1718151,2316000
21,Hot / predictable,SOR,1930,0.964,1838.9,91.1,95.3,4017746,1535283,0
22,Hot / predictable,MP,1930,0.98,1644.7,285.3,85.2,4111759,904587,0
22,Hot / predictable,OR,1930,0.98,1869.0,61.0,96.8,4083576,1778558,2316000
22,Hot / predictable,SOR,1930,0.98,1869.0,61.0,96.8,4083576,1560438,0
23,Hot / predictable,MP,1930,1.231,1930.0,0.0,100.0,4825000,1061500,0
23,Hot / predictable,OR,1930,1.231,1930.0,0.0,100.0,4458537,2142537,2316000
23,Hot / predictable,SOR,1930,1.231,1930.0,0.0,100.0,4458537,1853037,0
24,Hot / predictable,MP,1930,0.998,1675.2,254.8,86.8,4188011,921362,0
24,Hot / predictable,OR,1930,0.998,1870.6,59.4,96.9,4160358,1855042,2316000
24,Hot / predictable,SOR,1930,0.998,1870.6,59.4,96.9,4160358,1634987,0
25,Hot / predictable,MP,1930,1.053,1767.4,162.6,91.6,4418402,972048,0
25,Hot / predictable,OR,1930,1.053,1930.0,0.0,100.0,4355352,2039352,2316000
25,Hot / predictable,SOR,1930,1.053,1930.0,0.0,100.0,4355352,1749852,0
26,Hot / predictable,MP,1930,0.833,1434.4,495.6,74.3,3483811,766438,0
26,Hot / predictable,OR,1930,0.833,1735.0,195.0,89.9,3431195,1150303,2316000
26,Hot / predictable,SOR,1930,0.833,1735.0,195.0,89.9,3431195,1089009,0
27,Hot / predictable,MP,1930,1.039,1744.5,185.5,90.4,4361267,959479,0
27,Hot / predictable,OR,1930,1.039,1918.8,11.2,99.4,4333402,2019420,2316000
27,Hot / predictable,SOR,1930,1.039,1918.8,11.2,99.4,4333402,1743035,0
28,Hot / predictable,MP,1930,0.906,1559.9,370.1,80.8,3788640,833501,0
28,Hot / predictable,OR,1930,0.906,1775.6,154.4,92.0,3773299,1485085,2316000
28,Hot / predictable,SOR,1930,0.906,1775.6,154.4,92.0,3773299,1376194,0
29,Hot / predictable,MP,1930,0.907,1561.5,368.5,80.9,3792477,834345,0
29,Hot / predictable,OR,1930,0.907,1777.4,152.6,92.1,3777120,1488582,2316000
29,Hot / predictable,SOR,1930,0.907,1777.4,152.6,92.1,3777120,1377587,0
30,Hot / predictable,MP,1930,0.946,1629.3,300.7,84.4,3957151,870573,0
30,Hot / predictable,OR,1930,0.946,1830.1,99.9,94.8,3941910,1643896,2316000
30,Hot / predictable,SOR,1930,0.946,1830.1,99.9,94.8,3941910,1471303,0
31,Hot / predictable,MP,1930,1.121,1881.3,48.7,97.5,4703364,1034740,0
31,Hot / predictable,OR,1930,1.121,1930.0,0.0,100.0,4408234,2092234,2316000
31,Hot / predictable,SOR,1930,1.121,1930.0,0.0,100.0,4408234,1802734,0
32,Hot / predictable,MP,1930,1.157,1930.0,0.0,100.0,4825000,1061500,0
32,Hot / predictable,OR,1930,1.157,1930.0,0.0,100.0,4394877,2078877,2316000
32,Hot / predictable,SOR,1930,1.157,1930.0,0.0,100.0,4394877,1789377,0
33,Hot / predictable,MP,1930,1.214,1930.0,0.0,100.0,4825000,1061500,0
33,Hot / predictable,OR,1930,1.214,1930.0,0.0,100.0,4463599,2147599,2316000
33,Hot / predictable,SOR,1930,1.214,1930.0,0.0,100.0,4463599,1858099,0
34,Hot / predictable,MP,1930,0.958,1608.7,321.3,83.4,4021710,884776,0
34,Hot / predictable,OR,1930,0.958,1828.1,101.9,94.7,3994144,1696494,2316000
34,Hot / predictable,SOR,1930,0.958,1828.1,101.9,94.7,3994144,1526264,0
35,Hot / predictable,MP,1930,1.122,1884.2,45.8,97.6,4710480,1036306,0
35,Hot / predictable,OR,1930,1.122,1930.0,0.0,100.0,4407603,2091603,2316000
35,Hot / predictable,SOR,1930,1.122,1930.0,0.0,100.0,4407603,1802103,0
36,Hot / predictable,MP,1930,1.146,1923.9,6.1,99.7,4809669,1058127,0
36,Hot / predictable,OR,1930,1.146,1930.0,0.0,100.0,4398814,2082814,2316000
36,Hot / predictable,SOR,1930,1.146,1930.0,0.0,100.0,4398814,1793314,0
37,Hot / predictable,MP,1930,0.916,1577.7,352.3,81.7,3831732,842981,0
37,Hot / predictable,OR,1930,0.916,1772.1,157.9,91.8,3816974,1529400,2316000
37,Hot / predictable,SOR,1930,0.916,1772.1,157.9,91.8,3816974,1424672,0
38,Hot / predictable,MP,1930,0.975,1637.2,292.8,84.8,4093023,900465,0
38,Hot / predictable,OR,1930,0.975,1860.5,69.5,96.4,4064969,1761484,2316000
38,Hot / predictable,SOR,1930,0.975,1860.5,69.5,96.4,4064969,1553328,0
39,Hot / predictable,MP,1930,0.846,1456.8,473.2,75.5,3538270,778419,0
39,Hot / predictable,OR,1930,0.846,1741.9,188.1,90.3,3485476,1203341,2316000
39,Hot / predictable,SOR,1930,0.846,1741.9,188.1,90.3,3485476,1133967,0
40,Hot / predictable,MP,1930,1.129,1895.3,34.7,98.2,4738242,1042413,0
40,Hot / predictable,OR,1930,1.129,1930.0,0.0,100.0,4405143,2089143,2316000
40,Hot / predictable,SOR,1930,1.129,1930.0,0.0,100.0,4405143,1799643,0
41,Hot / predictable,MP,1930,1.025,1719.9,210.1,89.1,4299697,945933,0
41,Hot / predictable,OR,1930,1.025,1891.7,38.3,98.0,4272226,1963120,2316000
41,Hot / predictable,SOR,1930,1.025,1891.7,38.3,98.0,4272226,1718428,0
42,Hot / predictable,MP,1930,1.279,1930.0,0.0,100.0,4825000,1061500,0
42,Hot / predictable,OR,1930,1.279,1930.0,0.0,100.0,4444099,2128099,2316000
42,Hot / predictable,SOR,1930,1.279,1930.0,0.0,100.0,4444099,1838599,0
43,Hot / predictable,MP,1930,0.956,1645.8,284.2,85.3,3997254,879396,0
43,Hot / predictable,OR,1930,0.956,1822.8,107.2,94.4,3982682,1685975,2316000
43,Hot / predictable,SOR,1930,0.956,1822.8,107.2,94.4,3982682,1521884,0
44,Hot / predictable,MP,1930,1.139,1911.4,18.6,99.0,4778601,1051292,0
44,Hot / predictable,OR,1930,1.139,1930.0,0.0,100.0,4401567,2085567,2316000
44,Hot / predictable,SOR,1930,1.139,1930.0,0.0,100.0,4401567,1796067,0
45,Hot / predictable,MP,1930,1.012,1699.2,230.8,88.0,4247999,934560,0
45,Hot / predictable,OR,1930,1.012,1897.4,32.6,98.3,4219950,1909811,2316000
45,Hot / predictable,SOR,1930,1.012,1897.4,32.6,98.3,4219950,1658406,0
46,Hot / predictable,MP,1930,1.284,1930.0,0.0,100.0,4825000,1061500,0
46,Hot / predictable,OR,1930,1.284,1930.0,0.0,100.0,4442817,2126817,2316000
46,Hot / predictable,SOR,1930,1.284,1930.0,0.0,100.0,4442817,1837317,0
47,Hot / predictable,MP,1930,1.03,1728.4,201.6,89.6,4320896,950597,0
47,Hot / predictable,OR,1930,1.03,1901.0,29.0,98.5,4293289,1982504,2316000
47,Hot / predictable,SOR,1930,1.03,1901.0,29.0,98.5,4293289,1726900,0
48,Hot / predictable,MP,1930,0.802,1407.5,522.5,72.9,3353281,737722,0
48,Hot / predictable,OR,1930,0.802,1702.1,227.9,88.2,3286595,1011619,2316000
48,Hot / predictable,SOR,1930,0.802,1702.1,227.9,88.2,3286595,988770,0
49,Hot / predictable,MP,1930,1.047,1757.2,172.8,91.0,4392962,966452,0
49,Hot / predictable,OR,1930,1.047,1930.0,0.0,100.0,4358056,2042056,2316000
49,Hot / predictable,SOR,1930,1.047,1930.0,0.0,100.0,4358056,1752556,0
50,Hot / predictable,MP,1930,1.015,1703.5,226.5,88.3,4258712,936917,0
50,Hot / predictable,OR,1930,1.015,1902.2,27.8,98.6,4230592,1919592,2316000
50,Hot / predictable,SOR,1930,1.015,1902.2,27.8,98.6,4230592,1662589,0
51,Hot / predictable,MP,1930,0.998,1675.2,254.8,86.8,4187996,921359,0
51,Hot / predictable,OR,1930,0.998,1870.6,59.4,96.9,4160343,1855028,2316000
51,Hot / predictable,SOR,1930,0.998,1870.6,59.4,96.9,4160343,1634981,0
52,Hot / predictable,MP,1930,0.9,1550.2,379.8,80.3,3764909,828280,0
52,Hot / predictable,OR,1930,0.9,1831.0,99.0,94.9,3709447,1411263,2316000
52,Hot / predictable,SOR,1930,0.9,1831.0,99.0,94.9,3709447,1237564,0
53,Hot / predictable,MP,1930,0.897,1545.3,384.7,80.1,3753186,825701,0
53,Hot / predictable,OR,1930,0.897,1825.3,104.7,94.6,3697897,1400738,2316000
53,Hot / predictable,SOR,1930,0.897,1825.3,104.7,94.6,3697897,1233710,0
54,Hot / predictable,MP,1930,1.014,1701.4,228.6,88.2,4253507,935772,0
54,Hot / predictable,OR,1930,1.014,1899.9,30.1,98.4,4225422,1914840,2316000
54,Hot / predictable,SOR,1930,1.014,1899.9,30.1,98.4,4225422,1660557,0
55,Hot / predictable,MP,1930,1.538,1930.0,0.0,100.0,4825000,1061500,0
55,Hot / predictable,OR,1930,1.538,1930.0,0.0,100.0,4490758,2174758,2316000
55,Hot / predictable,SOR,1930,1.538,1930.0,0.0,100.0,4490758,1885258,0
56,Hot / predictable,MP,1930,1.401,1930.0,0.0,100.0,4825000,1061500,0
56,Hot / predictable,OR,1930,1.401,1930.0,0.0,100.0,4520441,2204441,2316000
56,Hot / predictable,SOR,1930,1.401,1930.0,0.0,100.0,4520441,1914941,0
57,Hot / predictable,MP,1930,0.79,1419.1,510.9,73.5,3291762,724188,0
57,Hot / predictable,OR,1930,0.79,1694.2,235.8,87.8,3235762,962210,2316000
57,Hot / predictable,SOR,1930,0.79,1694.2,235.8,87.8,3235762,948618,0
58,Hot / predictable,MP,1930,0.749,1368.2,561.8,70.9,3119956,686390,0
58,Hot / predictable,OR,1930,0.749,1622.6,307.4,84.1,3067069,806397,2316000
58,Hot / predictable,SOR,1930,0.749,1622.6,307.4,84.1,3067069,876534,0
59,Hot / predictable,MP,1930,0.811,1423.3,506.7,73.7,3390923,746003,0
59,Hot / predictable,OR,1930,0.811,1689.1,240.9,87.5,3340551,1067910,2316000
59,Hot / predictable,SOR,1930,0.811,1689.1,240.9,87.5,3340551,1060240,0
60,Hot / predictable,MP,1930,0.951,1638.2,291.8,84.9,3978718,875318,0
60,Hot / predictable,OR,1930,0.951,1814.4,115.6,94.0,3964213,1669028,2316000
60,Hot / predictable,SOR,1930,0.951,1814.4,115.6,94.0,3964213,1514826,0
61,Hot / predictable,MP,1930,0.959,1610.5,319.5,83.4,4026250,885775,0
61,Hot / predictable,OR,1930,0.959,1830.1,99.9,94.8,3998654,1700632,2316000
61,Hot / predictable,SOR,1930,0.959,1830.1,99.9,94.8,3998654,1527987,0
62,Hot / predictable,MP,1930,1.158,1930.0,0.0,100.0,4825000,1061500,0
62,Hot / predictable,OR,1930,1.158,1930.0,0.0,100.0,4394574,2078574,2316000
62,Hot / predictable,SOR,1930,1.158,1930.0,0.0,100.0,4394574,1789074,0
63,Hot / predictable,MP,1930,1.002,1681.6,248.4,87.1,4203960,924871,0
